  -10.1195   -0.8848 	0 	0
   -8.9784   -0.7867 	0 	0
   -8.0175   -0.6764 	0 	0
   -5.9756   -0.4741 	0 	0
   -4.0538   -0.2596 	0 	0
   -3.0329   -0.1431 	0 	0
   -2.1320   -0.0205 	0 	0
   -0.9909    0.0898 	0 	0
   -0.0300    0.2002 	0 	0
    1.0510    0.3228 	0 	0
    2.1921    0.4186 	0 	0
    3.1530    0.5312 	0 	0
    4.1739    0.6554 	0 	0
    5.1949    0.7535 	0 	0
    6.0357    0.8499 	0 	0
    8.0175    1.0461 	0 	0
    9.1586    1.1503 	0 	0
   10.2396    1.2239 	0 	0
   11.2005    1.3158 	0 	0
   12.2215    1.4078 	0 	0
   12.6419    1.4523 	0 	0
   13.1824    1.4968 	0 	0
   14.2634    0.8561 	0 	0
